page_name,page_component_type,page_section_number,order_number,content,language
Home/Python/Python Core/Comprehensions,code,5,2,"from math import sqrt\n\n\ndef is_prime(x):\n    if x < 2:\n        return False\n    for i in range(2, int(sqrt(x)) + 1):\n        if x % i == 0:\n            return False\n    return True\n\n\nprimes = [x for x in range(101) if is_prime(x)]\nprint(primes)",python
Home/Python/Python Core/Decorators,h3,1,1,The simplest possible decorator function (does nothing at all),
Home/Python/Python Core/Decorators,code,1,2,"def decorator_func(original_func):\n    def wrapper_func(*args, **kwargs):\n        return original_func(*args, **kwargs)\n    return wrapper_func\n\n\ndef my_func():\n    return \'Hi\'\n\n\nmy_func = decorator_func(my_func)   # we decorated the function \'manually\'\nprint(my_func())\n\n\n@decorator_func   # another way to decorate a function with our decorator\ndef my_func_2():\n    return \'Hello\'\n\nprint(my_func_2())",python
Home/Python/Python Core/Decorators,h3,2,1,Decorator example (logger),
Home/Python/Python Core/Decorators,code,2,2,"def my_logger(orig_func):\n    import logging\n    logging.basicConfig(\n        filename=\'{}.log\'.format(orig_func.__name__),\n        level=logging.INFO\n    )\n\n    def wrapper(*args, **kwargs):\n        logging.info(\n            \'Ran with args: {}, and kwargs: {}\'.format(args, kwargs)\n        )\n        return orig_func(*args, **kwargs)\n\n    return wrapper\n\n\n@my_logger\ndef display_info(name, age):\n    print(\'name = \', name)\n    print(\'age = \', age)\n\n\ndisplay_info(\'Bob\', age=20)",python
Home/Python/Python Core/Decorators,h3,3,1,Decorator example (timer),
Home/Python/Python Core/Decorators,code,3,2,"import time\n\n\ndef my_timer(orig_func):\n    import time\n\n    def wrapper(*args, **kwargs):\n        t1 = time.time()\n        result = orig_func(*args, **kwargs)\n        t2 = time.time()\n        print(\'{} ran in: {} sec\'.format(orig_func.__name__, t2-t1))\n        return result\n\n    return wrapper\n\n\n@my_timer\ndef my_func(n):\n    time.sleep(n)\n\n\nmy_func(3)",python
Home/Python/Python Core/Decorators,h3,4,1,Solving the problem with the name of a decorated function,
Home/Python/Python Core/Decorators,code,4,2,"import functools\n\n\ndef my_logger(orig_func):\n    import logging\n    logging.basicConfig(\n        filename=\'{}.log\'.format(orig_func.__name__),\n        level=logging.INFO\n    )\n\n    @functools.wraps(orig_func)\n    def wrapper(*args, **kwargs):\n        logging.info(\n            \'Ran with args: {}, and kwargs: {}\'.format(args, kwargs)\n        )\n        return orig_func(*args, **kwargs)\n\n    return wrapper\n\n\n@my_logger\ndef my_func():\n    pass\n\n\nprint(my_func.__name__)  # now this atribute is set correctly",python
Home/Python/Python Core/Decorators,h3,5,1,Decorators with arguments,
Home/Python/Python Core/Decorators,code,5,2,"def decor_func_builder(top, bottom):\n\n    # The function \'decor_func_builder\' is NOT a decorator, it is just a\n    # regular function that returns a decorator. The function \'decor_func\'\n    # is a decorator.\n\n    def decor_func(original_func):\n\n        def wrapper_func(*args, **kwargs):\n            print(top)\n            original_func(*args, **kwargs)\n            print(bottom)\n\n        return wrapper_func\n\n    return decor_func\n\n\n@decor_func_builder(\'Top\', \'Bottom\')\ndef my_func():\n    print(\'Hi\')\n\n\nmy_func()",python
Home/Python/Python Core/Truth Value Testing,h3,1,1,Objects truth value testing,
Home/Python/Python Core/Truth Value Testing,paragraph,1,2,"By default, an object is considered true unless its class defines\neither a __bool__() method that returns False or a __len__() method\nthat returns zero, when called with the object.",
Home/Python/Python Core/Truth Value Testing,h3,2,1,Constants defined to be false: None and False,
Home/Python/Python Core/Truth Value Testing,code,2,2,"falsy_constants = [\n    None,\n    False\n]\n\nfor const in falsy_constants:\n    print(bool(const))",python
Home/Python/Python Core/Truth Value Testing,h3,3,1,Zero of any numeric type is false,
Home/Python/Python Core/Truth Value Testing,code,3,2,"from decimal import Decimal\nfrom fractions import Fraction\n\nzeros = [\n    0,\n    0.0,\n    0j,\n    Decimal(0),\n    Fraction(0, 1)\n]\n\nfor zero in zeros:\n    print(bool(zero))",python
Home/Python/Python Core/Truth Value Testing,h3,4,1,Empty sequences and collections are false,
Home/Python/Python Core/Truth Value Testing,code,4,2,"empty_sequences = [\n    \'\',\n    (),\n    [],\n    {},\n    set(),\n    range(0)\n]\n\nfor sequence in empty_sequences:\n    print(bool(sequence))",python
Home/Python/Python Core/Truth Value Testing,h3,5,1,The boolean operations \'or\' and \'and\' always return one of their operands,
Home/Python/Python Core/Truth Value Testing,code,5,2,print(\'black\' or \'white\')\nprint(\'black\' and \'white\'),python
Home/Python/Python Core/Variable Scopes,h3,1,1,Scopes,
Home/Python/Python Core/Variable Scopes,paragraph,1,2,"Scopes are contexts in which named references can be looked up.\n\nThere are four scopes in Python:\n  Local      - Inside the current function\n  Enclosing  - Any and all enclosing functions\n  Global     - Top-level of a module\n  Built-in   - Provided by the builtins module\n\nImportant:\nBlocks of code demarkated by indentation do not create their own\nscopes (for loops, while loops etc)",
Home/Python/Python Core/Variable Scopes,h3,2,1,The \'global\' keyword,
Home/Python/Python Core/Variable Scopes,paragraph,2,2,"With the \'global\' keyword, you\'re telling Python to use the globally\ndefined variable instead of locally defining a new one",
Home/Python/Python Core/Variable Scopes,code,2,3,count = 0\n\n\ndef set_count(value):\n    global count\n    count = value\n    print(\'local count = {}\'.format(count))\n\n\nprint(\'global count = {}\'.format(count))\nset_count(5)\nprint(\'global count = {}\'.format(count)),python
Home/Python/Python Core/Variable Scopes,h3,3,1,The \'nonlocal\' keyword,
Home/Python/Python Core/Variable Scopes,paragraph,3,2,"The \'nonlocal\' keyword is useful in nested functions.\nIt causes the variable to refer to the previously bound variable\nin the closest enclosing scope. In other words, it will prevent\nthe variable from trying to bind locally first, and force it to go\na level \'higher up\'.",
Home/Python/Python Core/Variable Scopes,code,3,3,count = 0\n\n\ndef outer():\n    count = 100\n    print(\'outer count = {}\'.format(count))\n\n    def inner():\n        nonlocal count\n        count = 200\n        print(\'inner count = {}\'.format(count))\n\n    inner()\n    print(\'outer count = {}\'.format(count))\n\n\nprint(\'global count = {}\'.format(count))\nouter()\nprint(\'global count = {}\'.format(count)),python
Home/Python/Python Standard Library/CSV Module,h3,1,1,Read from csv file,
Home/Python/Python Standard Library/CSV Module,code,1,2,"import csv\n\nwith open(\'students.csv\') as csv_file:\n    csv_reader = csv.reader(csv_file, delimiter=\',\')\n\n    for line in csv_reader:\n        print(line)",python
Home/Python/Python Standard Library/CSV Module,h3,2,1,Write to csv file,
Home/Python/Python Standard Library/CSV Module,code,2,2,"import csv\n\ndata = [\n    [\'first_name\', \'last_name\', \'email\'],\n    [\'Bob\', \'Black\', \'bob@email.com\'],\n    [\'Alice\', \'White\', \'alice@email.com\']\n]\n\nwith open(\'students.csv\', \'w\', newline=\'\') as csv_file:\n    csv_writer = csv.writer(csv_file, delimiter=\';\')\n\n    for line in data:\n        csv_writer.writerow(line)",python
Home/Python/Python Standard Library/CSV Module,h3,3,1,Read from csv file (each line will be dict),
Home/Python/Python Standard Library/CSV Module,code,3,2,"import csv\n\nwith open(\'students.csv\') as csv_file:\n    csv_reader = csv.DictReader(csv_file, delimiter=\',\')\n\n    for line in csv_reader:\n        print(line[\'first_name\'], end=\' \')\n        print(line[\'last_name\'])",python
Home/Python/Python Standard Library/CSV Module,h3,4,1,Write to csv file from dicts,
Home/Python/Python Standard Library/CSV Module,code,4,2,"data = [\n    {\n        \'first_name\': \'Bob\',\n        \'last_name\': \'Black\',\n        \'email\': \'bob@email.com\'\n    },\n    {\n        \'first_name\': \'Alice\',\n        \'last_name\': \'White\',\n        \'email\': \'alice@email.com\'\n    }\n]\n\nwith open(\'students.csv\', \'w\', newline=\'\') as csv_file:\n    fieldnames = [\'first_name\', \'last_name\', \'email\']\n\n    csv_writer = csv.DictWriter(csv_file, fieldnames=fieldnames, delimiter=\',\')\n\n    csv_writer.writeheader()\n\n    for student in data:\n        csv_writer.writerow(student)",python
